date,ticker,price
2024-01-01,AAPL,150.60806615309622
2024-01-02,AAPL,150.37002307609762
2024-01-03,AAPL,150.15537549327624
2024-01-04,AAPL,152.1359562829569
2024-01-05,AAPL,151.86152553462063
2024-01-06,AAPL,151.7227781295055
2024-01-07,AAPL,151.64810156047943
2024-01-08,AAPL,151.78201342809862
2024-01-09,AAPL,152.42697473877178
2024-01-10,AAPL,153.38300807997715
2024-01-11,AAPL,154.16012122307276
2024-01-12,AAPL,153.4443583265811
2024-01-13,AAPL,153.225835649437
2024-01-14,AAPL,153.46613518170165
2024-01-15,AAPL,152.99655501317272
2024-01-16,AAPL,153.31259150335785
2024-01-17,AAPL,154.18337251112354
2024-01-18,AAPL,152.5301678701541
2024-01-19,AAPL,150.93440355320652
2024-01-20,AAPL,151.63718118713055
